"Reference","Value","Footprint","LCSC Part","Qty"
"C1","4.7uF","easyeda2kicad:C0402","C368809","1"
"C2, C6, C8-C13","100nF","easyeda2kicad:C0402","C1525","8"
"C3","100n","easyeda2kicad:C0402","C1525","1"
"C4, C5","10uF","easyeda2kicad:C0402","C315248","2"
"C7","22uF","easyeda2kicad:C0805","C602037","1"
"D1-D3","LESD5D5.0CT1G","easyeda2kicad:SOD-523_L1.2-W0.8-LS1.6-BI","C383211","3"
"J1","105017-0001","easyeda2kicad:MICRO-USB-SMD_105017-0001","C136000","1"
"J2","X1311WVS-03J-C40D42R2","easyeda2kicad:HDR-SMD_3P-P1.27-V-M-LS4.2_X1311WVS-03J-C40D42R2","C5243526","1"
"J3","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","","1"
"J4, J5","X6511WV-17H-C30D60","easyeda2kicad:HDR-TH_17P-P2.54-V-M","C725949","2"
"LED1","0805G (Green)","easyeda2kicad:LED0805-R-RD","C2297","1"
"LED2","FC-2012HRK-620D","easyeda2kicad:LED0805-R-RD","C84256","1"
"Q1, Q2","2N7002T-7-F","easyeda2kicad:SOT-523-3_L1.6-W0.8-P1.00-LS1.6-BR","C139445","2"
"Q3, Q4","SS8050-G","easyeda2kicad:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","C164886","2"
"R1","22.1k","easyeda2kicad:R0402","C43473","1"
"R2, R5","1k","easyeda2kicad:R0402","C11702","2"
"R3","47.5k","easyeda2kicad:R0402","C25896","1"
"R4, R6, R7, R10, R11","10k","easyeda2kicad:R0402","C25744","5"
"R8, R9","0","easyeda2kicad:R0402","C17168","2"
"R12","5.1k","easyeda2kicad:R0402","C25905","1"
"R13","560","easyeda2kicad:R0402","C25126","1"
"R14, R15","22","easyeda2kicad:R0402","C25092","2"
"SW1, SW2","PTS645SH50SMTR92LFS","easyeda2kicad:KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0","C221869","2"
"U1","ESP32-WROOM-32E(8MB)","easyeda2kicad:WIFI-SMD_ESP32-WROOM-32E","C701342","1"
"U2","CP2102N-A02-GQFN28R","easyeda2kicad:QFN-28_L5.0-W5.0-P0.50-TL-EP3.3","C964632","1"
"U3","AMS1117-3.3_C347222","easyeda2kicad:SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR","C347222","1"
